CountryCode,Urban population (% of total population),Population ages 65 and above (% of total population),GDP per capita (current US$),Obesity Rate (%),Cancer Rate (%),Share of Deaths from Smoking (%),Pneumonia Death Rate (per 100K),Share of Deaths from Air Pollution (%),CO2 emissions (metric tons per capita),Air transport (# carrier departures worldwide)
AFG,25.495,2.58492694,520.8966027,5.5,0.529079232,4.08,69.13071516,11.5,0.293946407,24433.446
ALB,60.319,13.74473591,5268.848504,21.7,1.152906741,19.11,12.1525875,7.53,1.978763312,2935
DZA,72.629,6.362496545,4114.715061,27.4,0.581716794,11.08,15.52482374,7.87,3.735520147,77463
AND,88.062,0,42029.76274,25.6,2.409174488,14.25,18.12108169,4.17,5.832906215,0
AGO,,,,8.2,0.424512079,4.78,92.2164421,5.82,,
ARG,91.87,11.11778888,11683.94962,28.3,1.176868831,15.61,56.33369413,5.12,4.781507775,161688
ABW,,,,,,,,,,
AUS,86.012,15.65647523,57373.68668,29,3.042002085,12.62,9.071138937,2.86,15.38876602,665384
AUT,58.297,19.00156646,51461.95478,20.1,2.228314728,14.13,4.587225585,4.29,6.86986793,130260
BHR,89.287,2.426333878,24050.75751,29.8,0.642360539,9.89,18.80903443,12.23,23.45540632,57094
BGD,36.632,5.15839064,1698.262802,3.6,0.254187684,10.23,32.49877942,13.83,0.47365761,101383.4657
BRB,31.147,15.80269396,17949.28151,23.1,1.502144362,6.05,38.73698576,6.18,4.467476521,0
BEL,98.001,18.78874374,47518.63604,22.1,2.129967521,18.44,19.68641753,4.57,8.328159898,140674
BLZ,45.724,4.736458777,4884.742421,24.1,0.657790338,6.79,42.90143577,5.83,1.400941234,125681.6909
BMU,100,0,85748.06541,,1.540409081,11.83,13.13177427,4.33,8.838314988,0
BOL,69.425,7.191947392,3548.59014,20.2,0.660451291,6.03,65.03915155,6.4,1.90636432,56592
BIH,48.245,16.47031747,6065.672708,17.9,1.280815425,22.92,7.179361467,9.11,6.384938819,0
BWA,69.446,4.223874346,8258.641666,18.9,0.53866266,6.33,58.98480094,5.77,3.367451334,6774
BRA,86.569,8.922837832,8920.762105,22.1,0.775327051,12.43,40.05188178,4.91,2.612933521,832683
BRN,77.629,4.873147568,31628.32879,14.1,2.287365627,15.27,39.96329111,2.79,22.2291779,11310
BGR,,,,25,1.659590404,18.86,12.95434144,7.14,,
BFA,,,,5.6,0.454025222,1.83,126.8998112,8.33,,
BDI,,,,5.4,0.387557281,3.34,121.5234286,7.96,,
CMR,56.374,2.728877355,1533.74214,11.4,0.440479926,2.74,116.0201175,6.95,0.308791722,5550
CAN,81.411,17.23200668,46232.98962,29.4,4.629727772,17.67,11.57868045,2.8,15.15892722,1475062.586
TCD,23.059,2.480518944,728.3432354,6.1,0.378859336,1.13,148.4437073,9.77,0.053407242,0
CHL,87.564,11.52980166,15923.35874,28,1.237788506,9.26,19.76227628,5.05,4.6490622,134661
CHN,59.152,10.92088354,9770.847088,6.2,1.454289027,21.03,12.96889687,11.89,7.543907641,4692008
COL,80.778,8.47804702,6667.7907,22.3,0.875953763,8.3,15.09932772,5.11,1.790356827,358847
CRI,79.34,9.549847673,12027.36588,25.7,1.336493848,9.36,10.604963,4.43,1.618087849,39730
HRV,56.947,20.44543301,14909.69319,24.4,2.153365611,18.24,6.427023522,6.03,3.973804906,27189
CUB,77.037,15.18621142,8821.818891,24.6,1.353519687,18.19,29.07299006,6.15,3.080994246,8733.666
CZE,73.792,19.42087689,23078.57349,26,2.113855018,18.84,15.66182801,5.85,9.165978376,50694
COD,44.46,3.017840622,561.7771824,6.7,0.373808856,2.59,111.6227305,8.33,0.063330889,18612.19624
DNK,87.874,19.81295264,61350.34791,19.7,2.493679851,21.58,18.23111893,4.36,5.935712482,0
DJI,77.777,4.527579378,3082.543099,13.5,0.520915766,5.51,79.51501977,6.49,0.803830216,0
DOM,81.074,7.082817476,8050.631602,27.6,0.753248307,11.52,25.29051513,5.02,2.11899467,0
ECU,63.821,7.157289727,6344.871979,19.9,0.693830173,5.4,36.41377435,4.41,2.753266363,53033
